composer,piece,top_recommendation,date,reviewer,podcast
"Bach, Johann Sebastian","Brandenburgh Concertos, BWV 1046-1051","English Baroque Soloists; John Eliot Gardiner (conductor)
Solo Deo Gloria SDG 707 (2 CDs)",2017-12-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05rpy47
"Schubert, Franz",Piano Sonata in B flat D960,"Maria João Pires (piano)
DG 4778107 (CD)",2017-12-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05rpvn4
"Elgar, Edward",The Dream of Gerontius,"Anthony Rolfe-Johnson (tenor), Catherine Wyn-Rogers (mezzo soprano), Royal Liverpool Philharmonic Choir, Huddersfield Choral Society, Royal Liverpool Philharmonic Orchestra, Vernon Handley (conductor)
Warner Classics 5757582 (CD)",2017-12-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05qr7n7
"Bruckner, Anton",Motets,"Tenebrae, Nigel Short (conductor)
Signum SIGCD430",2017-12-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05psp6v
"Brahms, Johannes",String Quartet in B major op.67,"Takács Quartet

DECCA 4756525 (CD)",2017-11-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05p3gmz
Rodgers & Hammerstein,OKLAHOMA!,"1998 National Theatre Cast
Hugh Jackman (Curly); Josefina Gabrielle (Laurey); Vicki Simon (Ado Annie); Jimmy Johnston (Will Parker); Shuler Hensley (Jud Fry); Maureen Lipman (Aunt Eller); Peter Polycarpou (Ali Hakim)
Director – Trevor Nunn; Musical Director – John Owen Edwards
FIRST NIGHT RECORDS CASTCD 69 (CD)",2017-11-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05nd7kl
"Shostakovich, Dmitri","Symphony No.11 in G minor, Op.103 'The Year 1905","Berliner Philharmoniker; Semyon Bychkov (conductor)
Philips 420 935-2 (download)",2017-11-11T00:00:00Z,Gerard McBurney,https://www.bbc.co.uk/programmes/p05n4j63
"Vivaldi, Antonio",La Stravaganza,"Rachel Podger (violin), Arte dei Suonatori Baroque Orchestra
Channel CCSSA19503",2017-11-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05lyc5w
"Dowland, John",Lachrimae or Seven Tears,"Phantasm, Elizabeth Kenny (lute), Laurence Dreyfus (director)
LINN CKD527",2017-10-28T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05l69vh
"Puccini, Giacomo",Il Tabarro,"Maria Guleghina (Giorgetta), Neil Shicoff (Luigi), Carlo Guelfi (Michele),
London Symphony Orchestra, Antonio Pappano (conductor)
WARNER CLASSICS 0190295900632",2017-10-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05kgnsw
"Purcell, Henry",My Heart is Inditing,"Collegium Vocale Gent, Philippe Herreweghe (conductor)
HARMONIA MUNDI HMC901462",2017-10-14T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05k6f12
"Handel, George Frideric",Concerti Grossi Op.3,"The Academy of Ancient Music, Richard Egarr (conductor)
HARMONIA MUNDI HMU907415 (download)",2017-10-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05j6tvj
"Wagner, Richard",Wesendonck-Lieder,"Julia Varady (soprano), Deutsches Symphonie-Orchester Berlin, Dietrich Fischer-Dieskau (conductor)
Orfeo C467 981A",2017-09-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05hh8lk
"Franck, César",Symphony in D minor M.48,"Orchestre de Paris, Semyon Bychkov (conductor)
Philips 4320962 (download)
Decca 4826331 (51 CDs – The Art of Semyon Bychkov)",2017-09-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05gyvsb
"Mozart, Wolfgang Amadeus",Horn Quintet in E flat major K.407,"Radek Baborak  (horn), Baborak Ensemble
SUPRAPHON SU 4207-2 (CD)",2017-09-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p05fz27c
"Vaughan Williams, Ralph",Dona Nobis Pacem,"Judith Howarth (soprano), Sir Thomas Allen (baritone), John Mark Ainsley (tenor), Matthew Souter (viola), Corydon Singers, Corydon Orchestra, Matthew Best (conductor)
HYPERION CDA66655 (CD)",2017-07-08T00:00:00Z,Alexandra Coghlan,NA
"Janáček, Leoš",Sinfonietta,"Czech Philharmonic Orchestra, Karel Ancerl (conductor)
SUPRAPHON SU36842 (CD)",2017-07-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p057cx52
"Telemann, Georg Philipp","Hamburger Ebb' und Fluth (""Water Music"")
 . 
","Akademie fur Alte Musik Berlin
HARMONIA MUNDI HMC901917 (CD)",2017-06-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p056qlsm
"Beethoven, Ludwig Van",Diabelli Variations Op 120,"BEETHOVEN: Diabelli Variations Op 120
Andreas Staier (fortepiano)
HARMONIA MUNDI HMC902091",2017-06-17T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p056br9j
"Coleridge-Taylor, Samuel",SURVEY,"The Song of Hiawatha
Helen Field (soprano), Arthur Davies (tenor), Bryn Terfel (baritone), Orchestra of the Welsh National Opera, Kenneth Alwyn (conductor)
ARGO 4303562",2017-06-10T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p055dl4x
"Sullivan, Arthur",The Mikado,"Richard Suart (baritone)/Felicity Palmer (mezzo) Orchestra of the Welsh National Opera/Sir Charles Mackerras
TELARC CD80284",2017-05-27T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0542j1v
"Gubaidulina, Sofia",SURVEY,"Offertorium - Concerto for Violin and Orchestra; Hommage a T.S. Eliot
Gidon Kremer (violin), Boston Symphony Orchestra, Charles Dutoit (conductor), Christine Whittlesey, Eduard Brunner, Klaus Thunemann, Radovan Vlatkovic, Isabelle van Keulen, Tabea Zimmermann, David Geringas, Alois Posch
DG 4791518 (CD)",2017-05-20T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0539kyj
"Monteverdi, Claudio",L'Orfeo,"MONTEVERDI: L’Orfeo                                   Mirko Guadagnini (Orfeo), Emanuela Galli (La Musica / Euridice), Marina De Liso (Messaggiera), Cristina Calzolari (Proserpina), Matteo Bellotto (Plutone), Jose Maria Lo Monaco (Speranza), Salvo Vitale (Caronte), Vincenzo Di Donato (Apollo), Francesca Cassinari (Ninfa), La Venexiana, Claudio Cavina (conductor)
GLOSSA GCD920941 (2CD)",2017-05-13T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0530304
"Prokofiev, Sergei",Piano Concerto No 3 in C major,"Vladimir Krainev (piano), The Moscow Philharmonic Orchestra, Dmitri Kitayenko (conductor)
MELODIYA MELCD1002227 (2CD)

",2017-05-06T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0521dsm
"Schumann, Robert",Liederkreis Op 24,"Ian Bostridge (tenor), Julius Drake (piano)
WARNER 5565752 [available as a download]",2017-04-29T00:00:00Z,Natasha Loges,http://www.bbc.co.uk/programmes/p051f8t6
"Mahler, Gustav","Symphony No 2 in C minor, ‘Resurrection’","Arleen Auger, Janet Baker, City of Birmingham Symphony Orchestra, City of Birmingham Symphony Chorus, Simon Rattle (conductor)
Available in a compilation set: Simon Rattle – The CBSO Years
WARNER CLASSICS 2564610055 (52CD) 

Or individually as a download",2017-04-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0512flv
"Rachmaninov, Sergei",Cello Sonata Op 19,"Truls Mork (cello), Jean-Yves Thibaud (piano)
ERATO 4820672 (2CDs)",2017-04-15T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0501h7y
"Kodály, Zoltán",Dances of Galanta,"Budapest Festival Orchestra, Ivan Fischer (conductor)
(Currently available as a download only)
",2017-04-08T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04z85kt
"Verdi, Giuseppe",Aida,"Montserrat Caballe (Aida), Placido Domingo (Radames), Fiorenza Cossotto (Amneris), Nicolai Ghiaurov (Ramfis), Piero Cappuccilli (Amonasro), Luigi Roni (The King of Egypt), Nicola Marinucci (Messenger), Esther Casas (Priestess), Royal Opera Chorus, New Philharmonia Orchestra, Riccardo Muti (conductor)
WARNER CLASSICS 2564690845 (3CD)",2017-04-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04ym32p
"Mozart, Wolfgang Amadeus",Clarinet Concerto in A major K622,"Julian Bliss (clarinet), Royal Northern Sinfonia, Mario Venzago
SIGNUM SIGCD390 (CD)",2017-03-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04xx0g0
"Messiaen, Olivier",Quartet for the End of Time,"Marie-Madeleine Petit (piano)/ Hugette Fernandez (violin)/ Jacques Neilz (cello)/ Guy Deplus (clarinet)
WARNER CLASSICS 2564621622 (18CD)
",2017-03-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04xl518
"Schoenberg, Arnold",Gurrelieder,"Thomas Moser (Waldemar), Karita Mattila (Tove), Anne Sofie von Otter (Waldtaube), Philip Langridge (Klaus-Narr), Thomas Quasthoff (Bauer/Sprecher), Rundfunkchor Berlin, MDR Rundfunkchor Leipzig, Ernst-Senff-Chor Berlin, Berliner Philharmoniker, Sir Simon Rattle (conductor)
WARNER CLASSICS 4575622 (5CD)",2017-03-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04wf7n2
"Smyth, Ethel",SURVEY,"The Boatswain’s Mate
Nadine Benjamin (Mrs Waters), Edward Lee (Harry Benn), Jeremy Huw Williams (Ned Travers), Simon Wilding (Policeman), Ted Schmitz (The Man), Rebecca Louise Dale (Mary Ann), Lontano Ensemble, Odaline de la Martinez (conductor)
RETROSPECT OPERA RO001",2017-03-04T00:00:00Z,Kate Kennedy,http://www.bbc.co.uk/programmes/p04vkkfk
"Ives, Charles",Symphony No 2,"Concertgebouw Orchestra, Michael Tilson Thomas (conductor)
SONY G010001222765X (download only)",2017-02-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04v5sg7
"Rodrigo, Joaquin",Concierto de Aranjuez,"Pepe Romero (guitar), The ASMF, Sir Neville Marriner (conductor) 
PHILIPS 4380162",2017-02-18T00:00:00Z,Tom McKinney,http://www.bbc.co.uk/programmes/p04t6qzm
"Bach, Johann Sebastian",Mass in B Minor,"Maria Keohane (soprano), Joanne Lunn (soprano), Alex Potter (countertenor), Jan Kobow (tenor), Peter Harvey (bass), Concerto Copenhagen, Lars Ulrik Mortensen (conductor)
CPO 7778512 (2Hybrid SACD)",2017-02-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04sd1z3
"Rossini, Gioachino",The Barber of Seville,"Roberto Servile (Figaro), Sonia Ganassi (Rosina), Ramón Vargas (Il Conte d'Almaviva), Angelo Romero (Bartolo), Franco de Grandis (Basilio), Hungarian Radio Chorus, Failoni Chamber Orchestra, Budapest, Will Humburg (conductor)  (recorded 1992)
NAXOS 8.660027/29 (3-CD)",2017-02-04T00:00:00Z,Ben Walton,http://www.bbc.co.uk/programmes/p04rp949
"Sibelius, Jean",Tapiola,"Helsinki Philharmonic Orchestra, Leif Segerstam (conductor)
ONDINE ODE8522 (CD)",2017-01-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04qzyyc
"Beethoven, Ludwig Van","String Quartet No 12, Op 127","Busch Quartet (mono)
WARNER 2564601931  (16CD)",2017-01-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04q5ny5
"Tchaikovsky, Pyotr Ilyich",Symphony No 4,"Budapest Festival Orchestra, Ivan Fischer (conductor)
CHANNEL CCSSA21704 (Hybrid SACD)",2017-01-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04pc0dg
"Schubert, Franz","Fantasy in C, D934","Isabelle Faust (violin), Alexander Melnikov (piano)
HARMONIA MUNDI HMC901870 (CD)",2017-01-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04nlsxh
"Bruckner, Anton",Symphony No 3 in D minor ‘Wagner Symphony',"Gewandhausorchester Leipzig, Herbert Blomstedt (conductor)
QUERSTAND VKJK1017 (Hybrid SACD)
",2016-12-31T00:00:00Z,Tom Service,http://www.bbc.co.uk/programmes/p04m3sqr
"Mozart, Wolfgang Amadeus","Piano Concerto No 21 in C major, K467","Malcolm Bilson (fortepiano), The English Baroque Soloists (on authentic instruments), John Eliot Gardiner (conductor)
DG ARCHIV E4631112 (9CD)",2016-12-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04m11fx
"Lassus, Orlando de",Lagrime di San Pietro,"Gallicantus, Gabriel Crouch (director)
SIGNUM SIGCD339",2016-12-17T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04lp9ph
"Puccini, Giacomo",La Fanciulla del West,"Carol Neblett (Minnie) Placido Domingo (Dick Johnson), Sherrill Milnes (Jack Rance), Royal Opera House Orchestra, Zubin Mehta (conductor)
DG 4748402 (2CD)",2016-12-10T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04ktl6h
"Haydn, Joseph",Symphony No 99,"Les Musiciens du Louvre-Grenoble, Marc Minkowski (conductor)
NAIVE V5176",2016-12-03T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04jx7h2
"Strozzi, Barbara",SURVEY,"Virtuosissima Compositrice
Cappella Mediterranea, Leonarda Garcia Alarcon
AMBRONAY AMY020",2016-11-26T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04hw5l3
"Bach, Johann Sebastian",Lutheran Masses,"Ensemble Pygmalion
Raphael Pichon (conductor)
ALPHA ALPHA816 (3CD)",2016-11-19T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04grgdv
"Vaughan Williams, Ralph","Symphony No 2 ""A London Symphony""","Royal Liverpool Philharmonic Orchestra, Vernon Handley
WARNER CLASSICS 0982022 (5CD)",2016-11-12T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04fzddk
"Stravinsky, Igor",The Rake's Progress,"Philip Langridge (Tom Rakewell), Cathryn Pope (Anne), Samuel Ramey (Nick Shadow), Sarah Walker (Baba the Turk), Astrid Varnay (Mother Goose), Stafford Dean (Father Trulove), John Dobson (Sellem), Matthew Best (Keeper of the Madhouse), London Sinfonietta, Riccardo Chailly 
DECCA 4757005",2016-11-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04f1tkw
"Brahms, Johannes","String Sextet No 1 in B flat major, Op 18","Hartmut Rohde (viola), Michael Sanderling (violoncello), Leipziger Streichquartett
MDG MDG3070969 (CD)",2016-10-29T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04dfchy
"Flecha, Mateo",Ensaladas,"Las Ensaladas- Spanish Songs of the 16th Century
PERE ALBERCH VILA: El Bon jorn; La Lucha
MATEU FLETXA: El Fuego; La Bomba
BARTOMEU CARCERES: La Trulla
La Colombina

K617 k617216",2016-10-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04cqvm3
"Kander, John",Cabaret,"Original Paris Cast
(recorded live at the Folies Bergère, Paris, 2006)
Claire Pérot (Sally Bowles), Fabian Richard (Emcee), Catherine Arditi (Fraulein Schneider), Pierre Reggiani (Herr Schultz), Geoffroy Guerrier (Cliff Bradshaw), Patrick Mazet (Ernst Ludwig), Delphine Grandsart (Fritzie Kost), Orchestra, Daniel Glet (Musical Director)
EMI France 3870692",2016-10-15T00:00:00Z,Richard Sisson,http://www.bbc.co.uk/programmes/p04c3j1t
"Elgar, Edward","Falstaff - Symphonic Study in C minor, Op 68","London Philharmonic Orchestra, Vernon Handley (conductor)
CLASSICS FOR PLEASURE 5737222 (download and CD)",2016-10-08T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04bdq0w
"Tallis, Thomas",Spem in alium,"Taverner Consort, Taverner Choir, Andrew Parrott (conductor)
ERATO 5622302 (2CD)",2016-10-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p04b4yx0
"Chopin, Frédéric",Piano Concerto No 1 in E minor Op 11,"Martha Argerich (piano), Montreal Symphony Orchestra, Charles Dutoit (conductor)
WARNER CLASSICS 5567982 (CD)",2016-09-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0497bnr
"Vivaldi, Antonio","The Four Seasons
= first 4 Concertos of
Il cimento dell'armonia e dell'inventione Op8","Fabio Biondi (director/violin)
Europa Galante, 
VIRGIN 6484082 (4CD)

",2016-09-17T00:00:00Z,Mahan Esfahani,http://www.bbc.co.uk/programmes/p0483swq
"Offenbach, Jacques",Orpheus in the Underworld,"Natalie Dessay (Euridice), Yann Beuron (Orphee), Jean-Paul Fouchecourt (Pluton/Aristee), Laurent Naouri (Jupiter), Martine Olmeda (L'Opinion Publique), Orchestra and Chorus of The Opera National de Lyon, Marc Minkowski (conductor) (conductor), Laurent Pelly (director)
ARTHAUS MUSIK 107105 (DVD)",2016-07-09T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p040tzxy
"Fauré, Gabriel","Requiem in D minor, Op 48","Grace Davidson (soprano), William Gaunt (baritone), Tenebrae, LSO Chamber Ensemble, Nigel Short (conductor)
LSO LIVE LSO0728 (Hybrid SACD)",2016-07-02T00:00:00Z,NA,NA
"Victoria, Tomás Luis de",Masses,"Sacred Works:
Missa Pro Victoria; Missa Pro Defunctis; Psalms and Responsories; Lamentations of Jeremiah; Missa Gaudeamus; Magnificat Octavi toni; Missa Ave Maris Stella; Missa de Beata Virgine; Motets; Magnificat Primi Toni; Alma Redemptoris Mater; Missa O quam gloriosum; Christe redemptore omnium; Doctor bonus amicus Dei Andreas; Tibi Christe; Music for the Easter Liturgy in Habsburg Madrid; Missa Ave Regina caelorum for eight voices; Motets and music for Vespers; Missa Salve a 8; Motets and Hymns for the liturgical year
Ensemble Plus Ultra, Michael Noone
DG ARCHIV 4779747 (10CD)",2016-06-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p041gdy5
"Mahler, Gustav",Symphony No 5,"Vienna Philharmonic Orchestra, Leonard Bernstein (conductor)
DG 4776334 (CD)",2016-06-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03z154l
"Bach, Johann Sebastian","Funeral Ode for the Queen of Poland 
BWV 198","Rotraud Hansman (soprano), Helen Watts (alto), Kurt Equiluz (tenor), Max van Egmond (bass), Concerto Amsterdam, Monteverdi Chor Hamburg, Jurgen Jurgens
WARNER CLASSICS 2564647632 (CD)",2016-06-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03xy9tg
"Tchaikovsky, Pyotr Ilyich","Symphony No 6, 'Pathétique'","Berliner Philharmoniker, Herbert von Karajan (conductor)
WARNER CLASSICS 2564633593 (7CD)",2016-06-04T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03x54w0
"Schumann, Robert","Fantasie in C Major, Op 17","Paul Lewis (piano)
HARMONIA MUNDI HMC902096",2016-05-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03wgydv
"Handel, George Frideric",Alcina,"Anja Harteros (Alcina), Vesselina Kasarova (Ruggiero), Kristina Hammarstrom (Bradamante), Veronica Cangemi (Morgana), Benjamin Bruns (Oronte), Adam Plachetka (Melisso), Alois Muhlbacher (Oberto), Les Musiciens du Louvre-Grenoble, Marc Minkowski (conductor) (Live Recording, Vienna Staatsoper, 2011)
ARTHAUS MUSIK 101 571 (2 DVDs)",2016-05-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03vry1q
"Haydn, Joseph","String Quartet in G major, Op 77 No 1","Quatuor Mosaiques 
NAIVE E8800 (download only)
",2016-05-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03v1nmv
"Martinů, Bohuslav",Symphony No 6 'Fantaises symphoniques',"MARTINU: Symphonies Nos. 1-6
BBC Symphony Orchestra, Jiri Belohlavek (conductor)
ONYX ONYX4061 (3CD)",2016-05-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03tll7f
"Schubert, Franz",Piano Trio No 2 in Eb D.929,"Trio Wanderer
HARMONIA MUNDI 902002/03 (2CD)",2016-04-30T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03sm8wr
"Verdi, Giuseppe",Falstaff,"Tito Gobbi (Falstaff), Rolando Panerai (Ford), Elisabeth Schwarzkopf (Alice Ford), Anna Moffo (Nannetta), Nan Merriman (Meg Page), Fedora Barbieri (Mistress Quickly), Luigi Alva (Fenton), Tomaso Spataro (Dr Caius), Renato Ercolani (Bardolfo), Nicola Zaccaria (Pistola), Philharmonia Orchestra and Chorus, Herbert von Karajan (conductor)
WARNER 9481992 (2CD + download)",2016-04-23T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03sd16b
Hildegard of Bingen,SURVEY,"Sequentia: Celestial Hierarchy
splendidissima gemma; O dulcis electe; O speculum columbae; O spectabilis viri; O cohors militiae; O victoriosissimi Triumphatores; Kyrie eleison; O vos imitatores excelse; O gloriosissimi lux; O vos angeli
Sequentia
DEUTSCHE HARMONA MUNDI 88765468642 (CD)",2016-04-16T00:00:00Z,Sara Mohr-Pietsch,http://www.bbc.co.uk/programmes/p03r4xhm
"Bach, Johann Sebastian","Concerto for Oboe, Violin & Strings in C minor BWV 1060","Antoine Torunczyk (oboe), Manfredo Kraemer (violin), Concerto Copenhagen, Lars Ulrik Mortensen (conductor)
CPO 7779042 (CD)",2016-04-09T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03r1543
"Brahms, Johannes","Violin Sonata in G, Op 78","BRAHMS: Violin Sonatas Nos. 1-3 (complete)
Josef Suk, Julius Katchen
DECCA E4663932 (CD)",2016-04-02T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03pq07p
"Schumann, Robert","Frauenliebe und Leben, Op 42","Anne Sofie Von Otter (mezzo soprano), Bengt Forsberg (piano)
DG E4458812 (CD)",2016-03-26T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03nv1rq
"Beethoven, Ludwig Van","Piano Sonata No 8, Op 13 ‘Pathétique’","Stephen Kovacevich (piano)
WARNER CLASSICS 6230812 (2CD)",2016-03-19T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03n98dc
"Delius, Frederick",Sea Drift,"Johan Reuter (baritone), Simon Duus (baritone), Aarhus Symphony Orchestra  Bo Holten (conductor)
DANACORD DACOCD732 (CD)",2016-03-05T00:00:00Z,Daniel Grimley,http://www.bbc.co.uk/programmes/p03ljznc
"Mozart, Wolfgang Amadeus","Requiem in D minor, K626","Reconstruction of first performance
Joanne Lunn (soprano), Rowan Hellier (alto), Thomas Hobbs (tenor), Matthew Brook (bass-baritone), Dunedin Consort, John Butt (conductor)
LINN CKD449 (Hybrid SACD)",2016-02-27T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03l17rt
"Shostakovich, Dmitri",Symphony No 9 in E flat major Op 70,"WDR Sinfonieorchester, Rudolf Barshai (conductor)
BRILLIANT CLASSICS 6324 (11 CD)
",2016-02-20T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03k3ng6
"Machaut, Guillaume de",SURVEY,"The Mirror of Narcissus
Emma Kirkby (soprano), Rogers Covey-Crump (tenor), Colin Mason (baritone), Emily van Evera (soprano), Margaret Philpot (alto), Gothic Voices, Christopher Page (conductor)
HYPERION CDA66087 (Download Only)",2016-02-13T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03jc1qg
"Mendelssohn, Felix",Symphony No 5 in D major Op 107 'Reformation',"Heidelberger Sinfoniker, Thomas Fey (conductor)
HANSSLER HAEN98547 (CD)",2016-02-06T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03hn0p7
"Kern, Jerome",Show Boat,"1993 Toronto Cast Recording
Rebecca Luker (Magnolia Hawks), Mark Jacoby (Gaylord Ravenal), Lonette McKee (Julie Laverne), Michael Bell (Joe), Gretha Boston (Queenie), Joel Blum (Frank Schultz), Dorothy Stanley (Ellie May Chipley), Robert Morse (Captain Andy Hawks); Elaine Stritch (Parthy Ann Hawks), Harold Prince (director), Jeffrey Huard (conductor) 
",2016-01-30T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03h6ll6
"Debussy, Claude",Nocturnes,"Berlin Radio Chorus, Berliner Philharmoniker, Claudio Abbado (conductor)
DG E4713322 (CD)",2016-01-23T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03gjzc5
"Mascagni, Pietro",Cavalleria Rusticana,"Agnes Baltsa (Santuzza), Placido Domingo (Turiddu), Juan Pons (Alfio), Susan Mentzer (Lola), Vera Baniewicz (Lucia), Philharmonia Orchestra, Chorus of the Royal Opera House, Covent Garden, Giuseppe Sinopoli (conductor)
DG E4295682 (CD)",2016-01-16T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03flvln
"Dutilleux, Henri",SURVEY,"Dutilleux: Centenary Edition
Orchestre de Paris, Paavo Jarvi (conductor), Orchestre des Concerts Lamoureux, Charles Munch (conductor), Orchestre du Theatre des Champs-Elysees, Paul Bonneau, Orchestre National de France, Mstislav Rostropovich (conductor), Collegium Musicum Zurich, Paul Sacher, Boston Symphony Orchestra, Seiji Ozawa (conductor), Orchestre de la Societe des Concerts du Conservatoire, Georges Pretre (conductor), Mstislav Rostropovich (cello), Serge Baudo (conductor), Truls Mork (cello), Renaud Capucon (violin), Orchestre Philharmonique de Radio France, Myung-Whun Chung (conductor), Christian Tetzlaff (violin), Gilles Cachemaille (baritone), Henri Dutilleux (piano), Dawn Upshaw (soprano), Jerome Ducros (piano), Barbara Hannigan (soprano), Esa-Pekka Salonen (conductor), Renee Fleming (soprano), Genevieve Joy (piano), Anne Queffelec (piano), Quatuor sine nomine, Emmanuel Pahud (flute), Eric Le Sage (piano), Nicholas Daniel (oboe), Julius Drake (piano), Marc Trenel (bassoon), Pascal Godart (piano), Daniel Breszynski (trombone)
ERATO 2564604798 (7CD)",2016-01-09T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03dy703
"Poulenc, Francis","Concerto in G minor for Organ, Strings & Timpani","Peter King (Bath Abbey Organ), The BBC National Orchestra of Wales, Francois-XAVIEr Roth (conductor)
REGENT REGCD257 (CD)",2015-12-26T00:00:00Z,Oliver Condy,http://www.bbc.co.uk/programmes/p03cyj3v
"Sibelius, Jean",Symphony No 1 in E minor,"BBC Philharmonic, John Storgards (conductor)
CHANDOS CHAN10809(3) (3CD)
",2015-12-12T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03bvjd5
"Schubert, Franz","Mass in E flat major, D950","Helen Donath, Lucia Popp (sopranos), Brigitte Fassbaender (mezzo), Peter Schreier (tenor), Dietrich Fischer-Dieskau (baritone), Chor, Symphonie-Orchester des Bayerischen Rundfunks, Wolfgang Sawallisch (conductor)
Warner 5733652",2015-12-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p03blzm2
"Bartók, Béla",Piano Concerto No 2,"Jean-Efflam Bavouzet (piano), BBC Philharmonic, Gianandrea Noseda (conductor)
CHANDOS CHAN10610 (CD)",2015-11-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p038n0l4
"Poulenc, Francis",Flute Sonata Op 164,"Sharon Bezaly (flute), Ronald Brautigam (piano)
BIS BISSACD1729 (Hybrid SACD)",2015-11-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p037zxhc
"Handel, George Frideric",Music for the Royal Fireworks,"English Concert, Trevor Pinnock 
DG 4777562 / ARCHIV 477 7562",2015-11-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p037s3mw
"Berg, Alban",Violin Concerto,"Isabelle Faust (violin), Orchestra Mozart, Claudio Abbado (conductor)
HARMONIA MUNDI HMC902105 (CD)",2015-10-31T00:00:00Z,Kate Molleson,http://www.bbc.co.uk/programmes/p036pj19
"Mozart, Wolfgang Amadeus","Symphony No 36 in C major, K425 'Linz'","Scottish Chamber Orchestra, Sir Charles Mackerras (conductor)
LINN CKD350 (2 Hybrid SACD)",2015-10-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p035r97f
