composer,piece,top_recommendation,date,reviewer,podcast
"Telemann, Georg Philipp",SURVEY,"Water Music (Overture in C Major); Three Concertos: Musica Antiqua Koln, Reinhard Goebel (conductor)
(recorded 1984)
ARCHIV 413 788-2 (CD)

‘Music of the Nations’:
Colin Lawson, Michael Harris (chalumeau), Collegium Musicum 90, Simon Standage (viola/director)
(recorded 1995)
CHANDOS CHAN 0593 (CD)

Horn Concertos and Overtures:
MUSIKPRODUKTION DABRINGHAUS UND GRIM DG 605 1045-2 (CD)

‘Bach & Telemann Oboe Concertos’:
Paul Goodwin (oboe, oboe d’amore), The King’s Consort, Robert King (conductor) (recorded 1987)
HYPERION CDA66267 (CD)

Suites:The English Concert, Trevor Pinnock (director)
(recorded 1992)
DG  463 260-2 (CD)

Orchestral Suites:
Tafelmusik Baroque Orchestra, 
Jeanne Lamon (director)
ANALEKTA FL 23138 (CD)
",2002-06-15T00:00:00Z,NA,NA
"Sullivan, Arthur",HMS Pinafore,"Richard Suart, Thomas Allen, Michael Schade, Rebecca Evans, Felicity Palmer, Donald Adams, Richard Van Allan, Orchestra and Chorus of the Welsh National Opera,
Sir Charles Mackerras (recorded 1994)
TELARC CD 80374 (CD)",2002-06-08T00:00:00Z,NA,NA
"Debussy, Claude",Children's Corner,"Claude Helffer (piano)
(rec. 1972)
HARMONIA MUNDI HMA 190954 (CD)",2002-06-01T00:00:00Z,NA,NA
"Vaughan Williams, Ralph",Fantasia on a Theme by Thomas Tallis,"London Philharmonic Orchestra, Bernard Haitink (conductor)
(recorded 1986; c/w A London Symphony)
EMI CDC 7 49394-2 (CD)",2002-05-25T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","Piano Concerto No 22 in E flat, K.482","Alfred Brendel (piano), Scottish Chamber Orchestra, Sir Charles Mackerras (conductor)
(recorded 2000; c/w Piano Concerto No 27 in B flat, K.595)
PHILIPS 468 367-2 (CD)",2002-05-18T00:00:00Z,Stephen Plaistow,NA
"Messiaen, Olivier",Turangalila Symphony,"Howard Shelley (piano), Valerie Hartmann-Claverie (ondes martenot), BBC Philharmonic, Yan Pascal Tortelier (conductor)
(recorded 1998)
CHANDOS CHAN 9678 (CD)",2002-05-11T00:00:00Z,NA,NA
"Sibelius, Jean",Symphony No 4 in A minor,"Lahti Symphony Orchestra, Osmo Vänskä (conductor)
(recorded 1997)
BIS BIS-CD-861 (CD)",2002-05-04T00:00:00Z,NA,NA
"Donizetti, Gaetano",L'Elisir d'Amore,"Dame Joan Sutherland (Adina), Luciano Pavarotti (Nemorino), Dominic Cossa (Belcore), Spiro Malas (Dulcamara), Maria Casula (Giannetta), Ambrosian Opera Chorus, English Chamber Orchestra, Richard Bonynge (conductor)
(recorded 1971)
DECCA 414 461-2 (2-CD)",2002-04-27T00:00:00Z,NA,NA
"Bartók, Béla",String Quartets,"Végh Quartet
NAIVE V 4870 (3-CD)
",2002-04-20T00:00:00Z,NA,NA
"Strauss, Richard",Vier Letzte Lieder (Four Last Songs),"Felicity Lott (soprano), Royal Scottish National Orchestra, Neeme Järvi (conductor) (recorded 1986)
CHANDOS CHAN 7113 (CD)",2002-04-13T00:00:00Z,NA,NA
"Chopin, Frédéric",Nocturnes,"Livia Rév (piano)
(recorded 1988)
HYPERION CDD 22013 (2 CDs)",2002-04-06T00:00:00Z,NA,NA
"Bach, Johann Sebastian","St Matthew Passion
BWV 244","Christine Schäfer (soprano), Dorothea Röschmann (soprano), Bernarda Fink (contralto), Elisabeth von Magnus (contralto), Christoph Prégardien (tenor), Michael Schade (tenor), Markus Schäfer (tenor), Matthias Goerne (bass), Dietrich Henschel (bass), Oliver Widmer (bass), Vienna Boys' Choir, Arnold Schoenberg Choir, Vienna Concentus Musicus, Nikolaus Harnoncourt (conductor)
TELDEC 8573-81036-2",2002-03-30T00:00:00Z,NA,NA
"Shostakovich, Dmitri","Symphony No 11 ""The Year 1905""","Washington National Symphony Orchestra, Mstislav Rostropovich (conductor)
(recorded 1992)
TELDEC 0630-17046-2 (12-CD)",2002-03-23T00:00:00Z,NA,NA
"Walton, WIlliam",Belshazzar's Feast,"Thomas Hampson (baritone), City of Birmingham Symphony Chorus, The Cleveland Orchestra Chorus, City of Birmingham Symphony Orchestra, Sir Simon Rattle (conductor)
(recorded 1997)
EMI CDC 5 56592-2 (CD)",2002-03-16T00:00:00Z,NA,NA
"Mendelssohn, Felix","String Quartet No 1 in E flat, Op 12","Melos Quartet 
(recorded 1976)
DG 415 883-2 (3-CD)",2002-03-09T00:00:00Z,Roderick Swanston,NA
"Dukas, Paul",The Sorcerer's Apprentice,"Boston Symphony Orchestra, Charles Munch (conductor)
(recorded 1957)
RCA 09026 68978-2 (CD)",2002-03-02T00:00:00Z,NA,NA
"Bruckner, Anton",Mass No 2 in E minor,"Bavarian Radio Chorus, Bavarian Radio Symphony Orchestra, Eugen Jochum (conductor)
(recorded 1971)
DG 447 409-2 (2-CD)",2002-02-23T00:00:00Z,Jeremy Summerly,NA
"Beethoven, Ludwig Van","Symphony No 6 in F major, ""Pastoral""","Berlin Philharmonic, Claudio Abbado (conductor) (2000)
DG 471 489-2 (CD)",2002-02-16T00:00:00Z,NA,NA
"Schoenberg, Arnold","Verklärte Nacht, Op 4","Orchestral version:
Georgian State Chamber Orchestra, Liana Isakadze (conductor)
(recorded 1986)
RCA 74321 29243-2 (CD)",2002-02-09T00:00:00Z,NA,NA
"Verdi, Giuseppe",Falstaff,"Tito Gobbi (Falstaff), Elisabeth Schwarzkopf (Alice Ford), Nan Merriman (Meg Page), Rolando Panerai (Ford), Fedora Barbieri (Mistress Quickly), Anna Moffo (Nannetta), Luigi Alva (Fenton), Philharmonia Chorus & Orchestra, Herbert von Karajan (conductor)
(recorded 1956, stereo)
EMI CMS 5 67083-2 (2-CD)",2002-02-02T00:00:00Z,NA,NA
"Barber, Samuel","Violin Concerto, Op 14","Joshua Bell (violin), Baltimore Symphony Orchestra, David Zinman (conductor)
DECCA 452 851-2 (CD)",2002-01-26T00:00:00Z,Anthony Burton,NA
"Dvořák, Antonín","Wind Serenade in D minor, Op 44","Oslo Philharmonic Wind Soloists
(recorded 1996)
NAXOS 8.554173 (CD)",2002-01-19T00:00:00Z,NA,NA
"Fauré, Gabriel","La bonne chanson - song cycle, Op 61","Gerard Souzay (baritone), Dalton Baldwin (piano) 
(recorded 1960)
PHILIPS 438 964-2 (4-CD)",2002-01-12T00:00:00Z,NA,NA
"Mendelssohn, Felix","Symphony No 4 in A major, Op 90 ""Italian""","Berlin Philharmonic, Claudio Abbado 
(recorded 1995/6)
SONY CLASSICAL SK 62826 (CD)",2002-01-05T00:00:00Z,NA,NA
